"V1" "V2" "V3"
"1" 50 1000 1
"2" 50 1585 2
"3" 50 2512 3
"4" 50 3981 4
"5" 50 6310 5
"6" 50 10000 6
"7" 50 15849 7
"8" 50 25119 8
"9" 50 39811 9
"10" 50 63096 10
"11" 50 1e+05 11
"12" 50 158489 12
"13" 50 251189 13
"14" 50 398107 14
"15" 50 630957 15
"16" 50 1e+06 16
"17" 50 1584893 17
"18" 50 2511886 18
"19" 50 3981072 19
"20" 50 6309573 20
"21" 50 1e+07 21
"22" 100 1000 22
"23" 100 1585 23
"24" 100 2512 24
"25" 100 3981 25
"26" 100 6310 26
"27" 100 10000 27
"28" 100 15849 28
"29" 100 25119 29
"30" 100 39811 30
"31" 100 63096 31
"32" 100 1e+05 32
"33" 100 158489 33
"34" 100 251189 34
"35" 100 398107 35
"36" 100 630957 36
"37" 100 1e+06 37
"38" 100 1584893 38
"39" 100 2511886 39
"40" 100 3981072 40
"41" 100 6309573 41
"42" 100 1e+07 42
"43" 500 1000 43
"44" 500 1585 44
"45" 500 2512 45
"46" 500 3981 46
"47" 500 6310 47
"48" 500 10000 48
"49" 500 15849 49
"50" 500 25119 50
"51" 500 39811 51
"52" 500 63096 52
"53" 500 1e+05 53
"54" 500 158489 54
"55" 500 251189 55
"56" 500 398107 56
"57" 500 630957 57
"58" 500 1e+06 58
"59" 500 1584893 59
"60" 500 2511886 60
"61" 500 3981072 61
"62" 500 6309573 62
"63" 500 1e+07 63
"64" 1000 1585 64
"65" 1000 2512 65
"66" 1000 3981 66
"67" 1000 6310 67
"68" 1000 10000 68
"69" 1000 15849 69
"70" 1000 25119 70
"71" 1000 39811 71
"72" 1000 63096 72
"73" 1000 1e+05 73
"74" 1000 158489 74
"75" 1000 251189 75
"76" 1000 398107 76
"77" 1000 630957 77
"78" 1000 1e+06 78
"79" 1000 1584893 79
"80" 1000 2511886 80
"81" 1000 3981072 81
"82" 1000 6309573 82
"83" 1000 1e+07 83
"84" 5000 6310 84
"85" 5000 10000 85
"86" 5000 15849 86
"87" 5000 25119 87
"88" 5000 39811 88
"89" 5000 63096 89
"90" 5000 1e+05 90
"91" 5000 158489 91
"92" 5000 251189 92
"93" 5000 398107 93
"94" 5000 630957 94
"95" 5000 1e+06 95
"96" 5000 1584893 96
