"V1" "V2" "V3"
"1" 10 1000 1
"2" 10 10000 2
"3" 10 1e+05 3
"4" 10 1e+06 4
"5" 16 1000 5
"6" 16 10000 6
"7" 16 1e+05 7
"8" 16 1e+06 8
"9" 25 1000 9
"10" 25 10000 10
"11" 25 1e+05 11
"12" 25 1e+06 12
"13" 40 1000 13
"14" 40 10000 14
"15" 40 1e+05 15
"16" 40 1e+06 16
"17" 63 1000 17
"18" 63 10000 18
"19" 63 1e+05 19
"20" 63 1e+06 20
"21" 100 1000 21
"22" 100 10000 22
"23" 100 1e+05 23
"24" 100 1e+06 24
"25" 158 1000 25
"26" 158 10000 26
"27" 158 1e+05 27
"28" 158 1e+06 28
"29" 251 1000 29
"30" 251 10000 30
"31" 251 1e+05 31
"32" 251 1e+06 32
"33" 398 1000 33
"34" 398 10000 34
"35" 398 1e+05 35
"36" 398 1e+06 36
"37" 631 1000 37
"38" 631 10000 38
"39" 631 1e+05 39
"40" 631 1e+06 40
"41" 1000 10000 41
"42" 1000 1e+05 42
"43" 1000 1e+06 43
"44" 10 1000 44
"45" 10 10000 45
"46" 10 1e+05 46
"47" 10 1e+06 47
"48" 16 1000 48
"49" 16 10000 49
"50" 16 1e+05 50
"51" 16 1e+06 51
"52" 25 1000 52
"53" 25 10000 53
"54" 25 1e+05 54
"55" 25 1e+06 55
"56" 40 1000 56
"57" 40 10000 57
"58" 40 1e+05 58
"59" 40 1e+06 59
"60" 63 1000 60
"61" 63 10000 61
"62" 63 1e+05 62
"63" 63 1e+06 63
"64" 100 1000 64
"65" 100 10000 65
"66" 100 1e+05 66
"67" 100 1e+06 67
"68" 158 1000 68
"69" 158 10000 69
"70" 158 1e+05 70
"71" 158 1e+06 71
"72" 251 1000 72
"73" 251 10000 73
"74" 251 1e+05 74
"75" 251 1e+06 75
"76" 398 1000 76
"77" 398 10000 77
"78" 398 1e+05 78
"79" 398 1e+06 79
"80" 631 1000 80
"81" 631 10000 81
"82" 631 1e+05 82
"83" 631 1e+06 83
"84" 1000 10000 84
"85" 1000 1e+05 85
"86" 1000 1e+06 86
"87" 10 1000 87
"88" 10 10000 88
"89" 10 1e+05 89
"90" 10 1e+06 90
"91" 16 1000 91
"92" 16 10000 92
"93" 16 1e+05 93
"94" 16 1e+06 94
"95" 25 1000 95
"96" 25 10000 96
"97" 25 1e+05 97
"98" 25 1e+06 98
"99" 40 1000 99
"100" 40 10000 100
"101" 40 1e+05 101
"102" 40 1e+06 102
"103" 63 1000 103
"104" 63 10000 104
"105" 63 1e+05 105
"106" 63 1e+06 106
"107" 100 1000 107
"108" 100 10000 108
"109" 100 1e+05 109
"110" 100 1e+06 110
"111" 158 1000 111
"112" 158 10000 112
"113" 158 1e+05 113
"114" 158 1e+06 114
"115" 251 1000 115
"116" 251 10000 116
"117" 251 1e+05 117
"118" 251 1e+06 118
"119" 398 1000 119
"120" 398 10000 120
"121" 398 1e+05 121
"122" 398 1e+06 122
"123" 631 1000 123
"124" 631 10000 124
"125" 631 1e+05 125
"126" 631 1e+06 126
"127" 1000 10000 127
"128" 1000 1e+05 128
"129" 1000 1e+06 129
"130" 10 1000 130
"131" 10 10000 131
"132" 10 1e+05 132
"133" 10 1e+06 133
"134" 16 1000 134
"135" 16 10000 135
"136" 16 1e+05 136
"137" 16 1e+06 137
"138" 25 1000 138
"139" 25 10000 139
"140" 25 1e+05 140
"141" 25 1e+06 141
"142" 40 1000 142
"143" 40 10000 143
"144" 40 1e+05 144
"145" 40 1e+06 145
"146" 63 1000 146
"147" 63 10000 147
"148" 63 1e+05 148
"149" 63 1e+06 149
"150" 100 1000 150
"151" 100 10000 151
"152" 100 1e+05 152
"153" 100 1e+06 153
"154" 158 1000 154
"155" 158 10000 155
"156" 158 1e+05 156
"157" 158 1e+06 157
"158" 251 1000 158
"159" 251 10000 159
"160" 251 1e+05 160
"161" 251 1e+06 161
"162" 398 1000 162
"163" 398 10000 163
"164" 398 1e+05 164
"165" 398 1e+06 165
"166" 631 1000 166
"167" 631 10000 167
"168" 631 1e+05 168
"169" 631 1e+06 169
"170" 1000 10000 170
"171" 1000 1e+05 171
"172" 1000 1e+06 172
"173" 10 1000 173
"174" 10 10000 174
"175" 10 1e+05 175
"176" 10 1e+06 176
"177" 16 1000 177
"178" 16 10000 178
"179" 16 1e+05 179
"180" 16 1e+06 180
"181" 25 1000 181
"182" 25 10000 182
"183" 25 1e+05 183
"184" 25 1e+06 184
"185" 40 1000 185
"186" 40 10000 186
"187" 40 1e+05 187
"188" 40 1e+06 188
"189" 63 1000 189
"190" 63 10000 190
"191" 63 1e+05 191
"192" 63 1e+06 192
"193" 100 1000 193
"194" 100 10000 194
"195" 100 1e+05 195
"196" 100 1e+06 196
"197" 158 1000 197
"198" 158 10000 198
"199" 158 1e+05 199
"200" 158 1e+06 200
"201" 251 1000 201
"202" 251 10000 202
"203" 251 1e+05 203
"204" 251 1e+06 204
"205" 398 1000 205
"206" 398 10000 206
"207" 398 1e+05 207
"208" 398 1e+06 208
"209" 631 1000 209
"210" 631 10000 210
"211" 631 1e+05 211
"212" 631 1e+06 212
"213" 1000 10000 213
"214" 1000 1e+05 214
"215" 1000 1e+06 215
