"V1" "V2"
"1" 100 1
"2" 158 2
"3" 251 3
"4" 398 4
"5" 631 5
"6" 1000 6
"7" 1585 7
"8" 2512 8
"9" 3981 9
"10" 6310 10
"11" 10000 11
"12" 15849 12
"13" 25119 13
"14" 39811 14
"15" 63096 15
"16" 1e+05 16
"17" 100 17
"18" 158 18
"19" 251 19
"20" 398 20
"21" 631 21
"22" 1000 22
"23" 1585 23
"24" 2512 24
"25" 3981 25
"26" 6310 26
"27" 10000 27
"28" 15849 28
"29" 25119 29
"30" 39811 30
"31" 63096 31
"32" 1e+05 32
"33" 100 33
"34" 158 34
"35" 251 35
"36" 398 36
"37" 631 37
"38" 1000 38
"39" 1585 39
"40" 2512 40
"41" 3981 41
"42" 6310 42
"43" 10000 43
"44" 15849 44
"45" 25119 45
"46" 39811 46
"47" 63096 47
"48" 1e+05 48
"49" 100 49
"50" 158 50
"51" 251 51
"52" 398 52
"53" 631 53
"54" 1000 54
"55" 1585 55
"56" 2512 56
"57" 3981 57
"58" 6310 58
"59" 10000 59
"60" 15849 60
"61" 25119 61
"62" 39811 62
"63" 63096 63
"64" 1e+05 64
"65" 100 65
"66" 158 66
"67" 251 67
"68" 398 68
"69" 631 69
"70" 1000 70
"71" 1585 71
"72" 2512 72
"73" 3981 73
"74" 6310 74
"75" 10000 75
"76" 15849 76
"77" 25119 77
"78" 39811 78
"79" 63096 79
"80" 1e+05 80
